lugt;prix;monture;vocvalorisat;palaisete;datation;biblio;vocasiatique;pedigree;chine;japon;inconnu;porcelaine;bronze;cloisonne;estampe;laque;ancien;nbcaracteres;annee
23338;450;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;76;1857
23338;451;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;110;1857
23338;455;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;136;1857
23338;460;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;86;1857
23338;465;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;111;1857
23338;470;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;124;1857
23338;479;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;110;1857
23338;485;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;143;1857
23338;485;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;153;1857
23338;490;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;71;1857
23338;495;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;113;1857
23338;500;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;134;1857
23338;500;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;139;1857
23338;505;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;99;1857
23338;505;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;95;1857
23338;505;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;188;1857
23338;506;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;62;1857
23338;516;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;75;1857
23338;520;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;85;1857
23338;520;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;151;1857
23338;545;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;126;1857
23338;545;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;86;1857
23338;550;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;89;1857
23338;550;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;54;1857
23338;560;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;134;1857
23338;600;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;102;1857
23338;610;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;58;1857
23338;655;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;116;1857
23338;670;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;54;1857
23338;690;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;145;1857
23338;695;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;108;1857
23338;700;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;133;1857
23338;700;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;64;1857
23338;700;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;141;1857
23338;705;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;84;1857
23338;746;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;23;1857
23338;750;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;90;1857
23338;780;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;102;1857
23338;790;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;126;1857
23338;790;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;119;1857
23338;799;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;150;1857
23338;800;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;123;1857
23338;805;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;60;1857
23338;805;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;112;1857
23338;810;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;137;1857
23338;810;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;175;1857
23338;850;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;127;1857
23338;860;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;139;1857
23338;885;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;119;1857
23338;895;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;89;1857
23338;910;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;140;1857
23338;915;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;62;1857
23338;940;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;118;1857
23338;1000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;205;1857
23338;1010;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;124;1857
23338;1045;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;170;1857
23338;1090;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;132;1857
23338;1100;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;76;1857
23338;1100;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;140;1857
23338;1115;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;85;1857
23338;1200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;74;1857
23338;1200;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;215;1857
23338;1200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;116;1857
23338;1310;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;176;1857
23338;1350;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;102;1857
23338;1500;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;108;1857
23338;1500;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;114;1857
23338;1520;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;93;1857
23338;1565;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;179;1857
23338;1590;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;152;1857
23338;1600;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;201;1857
23338;1640;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;95;1857
23338;1800;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;133;1857
23338;1900;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;81;1857
23338;2055;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;94;1857
23338;2110;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;201;1857
23338;2120;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;137;1857
23338;2320;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;148;1857
23338;2360;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;91;1857
23338;2400;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;35;1857
23338;2500;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;153;1857
23338;2850;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;118;1857
23338;3200;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;162;1857
23338;3290;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;108;1857
23338;3905;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;136;1857
23338;4250;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;86;1857
23977;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;91;1858
23977;13;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;154;1858
23977;17;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;77;1858
23977;19;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;66;1858
23977;20;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;71;1858
23977;20;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;83;1858
23977;22;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;56;1858
23977;23;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;58;1858
23977;24;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;111;1858
23977;24;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;79;1858
23977;27;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;50;1858
