identifiant;titre
657;Francis Jammes : Ouverture du printemps, avec sept lithogr orig de Jean Marchand (Livre)
658;Charles Perrault et l'Abbé de Choisy : Histoire de la marquise de Banneville, avec un bois de Henry de Renaucourt (Livre)
8238;Composition
8239;Paysage
8755;Le Pont portugais
8756;Le Jardin
8757;Aquarelle
8940;Composition
9098;Peinture
9253;Peinture
9396;Eliane aux poissons-chat
9397;La route de Bordepaille
9581;La route
9582;La maison de M. Moulade
9724;La Distillerie
9725;Paysage aux deux pylônes
1408;Etude de nu
2144;Zénobie
2145;Triacanthe
2146;Etude de tête
2754;Femme aux mains croisées
2755;Simone
2756;Jac Belaubre
2757;M. C. Daunalt
2758;Nu
2759;Nature morte
3456;Nu
3457;La tasse rouge
3458;Femme lisant
3459;Nature morte
3460;Le banc
3461;La robe rose
4147;Fillette en bleu
4148;Jeune femme
4149;Roses trémières
4150;Nature morte
4151;Peinture
4152;Peinture
4153;Portrait de M. A.-J. L.
4769;La petite fille de la blanchisseuse
4770;Femme assise
4771;Fillette en rose
4772;Peinture
4773;Fleurs
4774;Fleurs
4775;Peinture
4776;Figure
4777;Peinture
5422;Enterrement de Virginie
5423;Enfant en rouge
5424;Enfant au croissant
5425;Nu
5426;Paysage
5427;Nature morte
5999;Nu
6000;Hiver
6001;Soirée d'Automne
6002;Au Balagné
6003;Avril
6004;Printemps
6005;Jacinthes
6006;Ave Maria
6007;Nini
6518;La jeune fille blonde
6519;L'enfant aux gammes
6520;Paysage
6521;Peinture
6522;Fleurs
7169;La danseuse lasse
7170;La chatte sous l'abaat-jour
7171;Le bouquet blanc
7172;Dessin
7601;La créole
7602;Nu
7978;Tamaris
7979;Jeune femme à la tasse
8240;Intérieur
8241;Composition
8242;Composition
8432;Peinture
8518;Mois d'été (composition)
8659;Farniente
8874;La bergère endormie
8975;Matin
9254;Salambô
9398;Le Jardin suspendu
9583;La Pomme
9584;Le nouveau monde
9726;Bain
9727;Coin d'ombre
8380;Composition jaune
8509;Femme devant un miroir
9370;Bal blanc
1409;Paysage lot-et-garonnais
1410;Fond de vallée
1411;Au bord de la Garonne
1412;Portrait
1413;Marine
1414;Nature morte
1415;Fleurs
74;Paysage
75;Paysage
1416;Arrivée de Costes et Bellonte à New-York
1417;Gorges de Luz-Saint-Sauveur
1418;L'homme à la pipe
5428;Les fleurs des champs
5429;Le château de Liurmurin
6008;Paysage des bords de la Tamise
6009;Fleurs
5858;Grand Vase sculpté, déc. vetr.
5859;Plat vert
5860;Cruche Moldave, ivoire
5861;Jatte mave sculpture archaïque
5862;Jatte grise et bleu, sculp.
5863;Vase p. dec, blanc et vert
5864;Petit vase (forme Inca)
76;"Bœufs sous le joug ; été 1928"
77;Chevaux au labour
78;"Ancien pont de Cubzac ; 1875"
79;Domaine de Lort (Yvrac)
80;Deux cartons d'alphabets
644;"Statuette équestre du Maréchal de Mac-Mahon ; bois"
81;Dessins
82;Danses basques
83;Los Danzaris (Espagne)
84;Pays basque espagnol
85;Pelotaris
86;Danses basques espagnoles
87;Les Pêcheurs (Espagne)
88;Dimanche au pays basque
89;Pays basque
90;Vieille basquaise
887;Le chemin (Hiver)
888;Vieux Moulin. (Lot-et-Garonne)
889;Printemps (Creuse)
890;Le Moulin de Sornac (Creuse)
891;Rigole du Diable (Creuse)
892;Le Phamion (Creuse)
893;La neige
894;Neige
1419;Calle de la Rosa
1420;Santa Cruz
1421;Vieux pont en Aragon
1422;La carretera en Aragon
1423;Village, le chemin
1424;Village d'Amro
1425;Neige (Espage…)
1426;Plazuela de la Moujas
1427;Procession Aragon
1428;Procession Aragon
1429;Types aragonnais
1430;Paysage au pont
1431;Paysage
1432;Types aragonnais
2147;Type et paysages du Pays basque français et Navarre espagnole
2760;Monastère (Siguenza)
2761;Tolède. Porte Saint-Martin
2762;Albarracin (La citée)
2763;Albarracin sous la neige
2764;Environs de Jaca (L'Eglise)
2765;Eglise des jeunes filles (Jaca)
2766;Paysage aragonais
2767;Alquezar (Huesca), Calle Vieille
2768;Le château
2769;Alquezar Rue (Calle Vieille)
2770;Alquezar Rue (Calle Vieille)
2771;Place à Cinenca (Aragon)
2772;Le Pont Romain (Aragon)
2773;Calle del Chorro (Albarracin)
2774;Aragon (Albarracin la Citée)
2775;Plaza de Santiago (Albarracin)
3462;Paysages d'Espagne
3463;Tolède
3464;Segovia
3465;"Des Rues ; des Places"
3466;Des Eglises de Vieilles-Pierres
7019;Saint-Tropez. Rue
7020;Collioure. La Grève
7021;Saint-Tropez. Tartanes
7022;Port-Vendres. Le portail
7488;Maisons du XIIIe à Port-Sainte-Marie (Lot-et-Garonne)
7489;Sète. Un coin du Port
7490;Le Port à St. E. de Baïgorry (Basses-Pyrénées)
7491;Bidarray (La Ferme). Temps gris
7492;Le Petit Pont de Bidarray
7493;Ossès. La Meule
7494;Maison basque (Bidarray)
7885;Paysage
7886;Paysage
7887;Paysage
7888;Paysage
91;Nu
92;Bains de la Source (Toulon)
93;Le Bec d'Ambès (Gironde)
94;Pont du Génie (Bayonne)
95;Feu dans la lande de Bussac
7420;Inondations de la Dordogne
8130;Ancienne rue des écrevisses à Agen
96;Rochers de Groléjac (Dordogne)
97;Château de Montfort (Dordogne)
98;Château de la Gazaille-Carsac (Dordogne)
99;Entrée du château de Groléjac (Dordogne)
100;Rue de l'Eglise (Angles-sur-Anglin, Vienne)
101;Ruines aux Eyzies (Dordogne)
102;Rochers de Turnac (Dordogne)
103;A Libourne
104;La rivière à Guîtres
4084;Un bas-relief plâtré (sculpture décorative). Modèle ayant servi à l'exécution en bois pour la décoration du dessus de la porte du réfectoire des ouvriers de la Maison Michon et Pigé. Menuiserie d'art à Paris
7288;Jeunesse (Sculpture)
7289;Bateau (Sculpture)
7290;Sare (Pays basque), Etude
7291;Lineuil (Dordogne), Etude
7292;Larnagol (Lot), Etude
7293;Nature morte. Etude
7294;Nature morte. Etude
7708;Vierge de Fargnier
7709;Motif pour la Parfumerie Cybèle
7710;Motif pour dessus de porte
7711;Sculpture pour jardin
7712;Deux esqusses pour figures
